id,created_at,path
1985284,2025-06-12T00:40:17.521Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985284"
1985282,2025-06-12T00:35:10.041Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985282"
1985275,2025-06-12T00:20:05.583Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985275"
1985272,2025-06-12T00:15:08.628Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985272"
1985257,2025-06-12T00:00:08.468Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985257"
1985256,2025-06-11T23:55:07.538Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985256"
1985250,2025-06-11T23:40:08.277Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985250"
1985247,2025-06-11T23:35:11.067Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985247"
1985242,2025-06-11T23:20:13.318Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985242"
1985238,2025-06-11T23:15:06.941Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985238"
1985224,2025-06-11T23:00:10.731Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1985224"
1982524,2025-06-11T03:55:11.597Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1982524"
1979867,2025-06-10T03:40:12.143Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1979867"
1978971,2025-06-09T15:00:15.133Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1978971"
1977049,2025-06-08T23:55:04.501Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1977049"
1976973,2025-06-08T21:40:09.141Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1976973"
1976903,2025-06-08T19:40:04.996Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1976903"
1976899,2025-06-08T19:35:13.077Z,"https://gitlab.ballys.tech/dumarca/playwright/uat-runner/-/pipelines/1976899"
